time_step,method,feature_mode,num_pedestrians,num_clusters,raw_num_clusters,used_fallback,runtime_sec,window_size,beta,n_clusters_param,dist_threshold,vel_threshold,sigma_d,sigma_v
1300,relation_graph,temporal_relation,39,4,4,0,0.010315656661987305,5,0.7,3,2.5,0.2,2.0,0.1
1310,relation_graph,temporal_relation,38,4,4,0,0.01332402229309082,5,0.7,3,2.5,0.2,2.0,0.1
1320,relation_graph,temporal_relation,39,4,4,0,0.014738321304321289,5,0.7,3,2.5,0.2,2.0,0.1
1330,relation_graph,temporal_relation,37,3,3,0,0.009807825088500977,5,0.7,3,2.5,0.2,2.0,0.1
1340,relation_graph,temporal_relation,35,5,5,0,0.008470296859741211,5,0.7,3,2.5,0.2,2.0,0.1
1350,relation_graph,temporal_relation,32,5,5,0,0.0072307586669921875,5,0.7,3,2.5,0.2,2.0,0.1
1360,relation_graph,temporal_relation,32,6,6,0,0.007319927215576172,5,0.7,3,2.5,0.2,2.0,0.1
1370,relation_graph,temporal_relation,31,8,8,0,0.006949186325073242,5,0.7,3,2.5,0.2,2.0,0.1
1380,relation_graph,temporal_relation,32,8,8,0,0.007171630859375,5,0.7,3,2.5,0.2,2.0,0.1
1390,relation_graph,temporal_relation,32,7,7,0,0.007080554962158203,5,0.7,3,2.5,0.2,2.0,0.1
1400,relation_graph,temporal_relation,32,7,7,0,0.00715947151184082,5,0.7,3,2.5,0.2,2.0,0.1
1410,relation_graph,temporal_relation,32,6,6,0,0.0072596073150634766,5,0.7,3,2.5,0.2,2.0,0.1
1420,relation_graph,temporal_relation,31,7,7,0,0.009470224380493164,5,0.7,3,2.5,0.2,2.0,0.1
1430,relation_graph,temporal_relation,29,9,9,0,0.0075147151947021484,5,0.7,3,2.5,0.2,2.0,0.1
1440,relation_graph,temporal_relation,27,6,6,0,0.007445573806762695,5,0.7,3,2.5,0.2,2.0,0.1
1450,relation_graph,temporal_relation,26,8,8,0,0.006407260894775391,5,0.7,3,2.5,0.2,2.0,0.1
1460,relation_graph,temporal_relation,27,8,8,0,0.005160093307495117,5,0.7,3,2.5,0.2,2.0,0.1
1470,relation_graph,temporal_relation,26,6,6,0,0.0049016475677490234,5,0.7,3,2.5,0.2,2.0,0.1
1480,relation_graph,temporal_relation,27,7,7,0,0.00519561767578125,5,0.7,3,2.5,0.2,2.0,0.1
1490,relation_graph,temporal_relation,29,6,6,0,0.005681037902832031,5,0.7,3,2.5,0.2,2.0,0.1
1500,relation_graph,temporal_relation,30,6,6,0,0.006068706512451172,5,0.7,3,2.5,0.2,2.0,0.1
1510,relation_graph,temporal_relation,28,7,7,0,0.00805354118347168,5,0.7,3,2.5,0.2,2.0,0.1
1520,relation_graph,temporal_relation,27,4,4,0,0.005146980285644531,5,0.7,3,2.5,0.2,2.0,0.1
1530,relation_graph,temporal_relation,30,6,6,0,0.005965232849121094,5,0.7,3,2.5,0.2,2.0,0.1
1540,relation_graph,temporal_relation,31,6,6,0,0.006439924240112305,5,0.7,3,2.5,0.2,2.0,0.1
1550,relation_graph,temporal_relation,31,6,6,0,0.006583452224731445,5,0.7,3,2.5,0.2,2.0,0.1
1560,relation_graph,temporal_relation,31,5,5,0,0.006678342819213867,5,0.7,3,2.5,0.2,2.0,0.1
1570,relation_graph,temporal_relation,32,5,5,0,0.010053396224975586,5,0.7,3,2.5,0.2,2.0,0.1
1580,relation_graph,temporal_relation,33,7,7,0,0.009215354919433594,5,0.7,3,2.5,0.2,2.0,0.1
1590,relation_graph,temporal_relation,32,6,6,0,0.0076274871826171875,5,0.7,3,2.5,0.2,2.0,0.1
